seed,algorithm,load,total_joins,accepted,acceptance_rate,stale_rejections,stale_rejection_rate,first_rejection,mean_path_len,mean_bottleneck,flooded
4,swp,200.0,1023,1023,1.0,0,0.0,,2.908,214.4,0
4,pruned,200.0,1023,1023,1.0,0,0.0,,2.908,214.4,0
4,sp,200.0,1023,1023,1.0,0,0.0,,2.908,214.4,0
5,swp,200.0,1005,1005,1.0,0,0.0,,2.974,271.4,2
5,pruned,200.0,977,977,1.0,0,0.0,,2.949,246.0,9
5,sp,200.0,977,977,1.0,0,0.0,,2.949,246.0,0
6,swp,200.0,1015,1015,1.0,0,0.0,,2.995,180.2,6
6,pruned,200.0,1021,1021,1.0,0,0.0,,2.988,178.0,14
6,sp,200.0,1021,1021,1.0,0,0.0,,2.988,178.0,0
7,swp,200.0,1023,1023,1.0,0,0.0,,3.002,161.3,4
7,pruned,200.0,990,990,1.0,0,0.0,,2.914,170.2,5
7,sp,200.0,990,990,1.0,0,0.0,,2.914,170.2,0
8,swp,200.0,969,969,1.0,0,0.0,,2.98,242.4,2
8,pruned,200.0,988,988,1.0,0,0.0,,2.978,224.2,4
8,sp,200.0,988,988,1.0,0,0.0,,2.978,224.2,0
9,swp,200.0,1034,1034,1.0,0,0.0,,2.975,197.5,0
9,pruned,200.0,1034,1034,1.0,0,0.0,,2.975,197.5,0
9,sp,200.0,1034,1034,1.0,0,0.0,,2.975,197.5,0
0,swp,500.0,2465,2465,1.0,0,0.0,,3.024,209.3,13
0,pruned,500.0,2497,2497,1.0,0,0.0,,2.938,198.7,28
0,sp,500.0,2497,2497,1.0,0,0.0,,2.938,198.7,0
1,swp,500.0,2472,2472,1.0,0,0.0,,3.131,201.4,40
1,pruned,500.0,2544,2544,1.0,0,0.0,,2.951,165.4,29
1,sp,500.0,2544,2544,1.0,0,0.0,,2.951,165.4,0
2,swp,500.0,2514,2514,1.0,0,0.0,,3.06,224.6,10
2,pruned,500.0,2448,2448,1.0,0,0.0,,2.96,200.7,59
2,sp,500.0,2490,2446,0.9823,0,0.0,1566,2.956,189.1,0
3,swp,500.0,2545,2545,1.0,0,0.0,,3.031,280.2,12
3,pruned,500.0,2548,2548,1.0,0,0.0,,2.954,269.3,30
3,sp,500.0,2548,2548,1.0,0,0.0,,2.954,269.3,0
4,swp,500.0,2529,2529,1.0,0,0.0,,3.002,227.5,8
4,pruned,500.0,2491,2491,1.0,0,0.0,,2.971,219.1,6
4,sp,500.0,2491,2491,1.0,0,0.0,,2.971,219.1,0
5,swp,500.0,2515,2515,1.0,0,0.0,,3.004,278.7,14
5,pruned,500.0,2404,2404,1.0,0,0.0,,2.95,236.9,33
5,sp,500.0,2404,2404,1.0,0,0.0,,2.95,236.9,0
6,swp,500.0,2451,2451,1.0,0,0.0,,3.034,206.0,16
6,pruned,500.0,2482,2482,1.0,0,0.0,,2.942,155.0,57
6,sp,500.0,2482,2482,1.0,0,0.0,,2.942,155.0,0
7,swp,500.0,2538,2538,1.0,0,0.0,,3.066,200.8,18
7,pruned,500.0,2541,2541,1.0,0,0.0,,2.976,154.6,23
7,sp,500.0,2541,2541,1.0,0,0.0,,2.976,154.6,0
8,swp,500.0,2436,2436,1.0,0,0.0,,2.958,246.3,12
8,pruned,500.0,2541,2541,1.0,0,0.0,,2.974,222.4,25
8,sp,500.0,2541,2541,1.0,0,0.0,,2.974,222.4,0
9,swp,500.0,2515,2515,1.0,0,0.0,,3.027,214.5,20
9,pruned,500.0,2478,2478,1.0,0,0.0,,2.967,198.3,17
9,sp,500.0,2478,2478,1.0,0,0.0,,2.967,198.3,0
0,swp,1000.0,5018,5018,1.0,0,0.0,,3.17,262.0,56
0,pruned,1000.0,4933,4933,1.0,0,0.0,,2.969,192.3,109
0,sp,1000.0,4796,4796,1.0,0,0.0,,2.977,188.2,0
1,swp,1000.0,4837,4837,1.0,0,0.0,,3.524,230.5,94
