seed,algorithm,load,total_joins,accepted,acceptance_rate,stale_rejections,stale_rejection_rate,first_rejection,mean_path_len,mean_bottleneck,flooded
7,sp,50.0,249,249,1.0,0,0.0,,10.647,122.6,0
8,swp,50.0,249,249,1.0,0,0.0,,9.414,127.0,0
8,pruned,50.0,249,249,1.0,0,0.0,,9.414,123.4,0
8,sp,50.0,249,249,1.0,0,0.0,,9.414,123.4,0
9,swp,50.0,264,264,1.0,0,0.0,,9.856,143.5,2
9,pruned,50.0,276,276,1.0,0,0.0,,9.884,117.0,1
9,sp,50.0,276,276,1.0,0,0.0,,9.884,117.0,0
0,swp,100.0,493,493,1.0,0,0.0,,9.499,106.0,1
0,pruned,100.0,489,489,1.0,0,0.0,,9.427,106.4,1
0,sp,100.0,489,489,1.0,0,0.0,,9.427,106.4,0
1,swp,100.0,511,511,1.0,0,0.0,,10.896,83.4,13
1,pruned,100.0,509,509,1.0,0,0.0,,9.568,96.9,19
1,sp,100.0,509,509,1.0,0,0.0,,9.568,96.9,0
2,swp,100.0,533,533,1.0,0,0.0,,11.69,117.5,16
2,pruned,100.0,527,527,1.0,0,0.0,,9.687,107.8,13
2,sp,100.0,527,527,1.0,0,0.0,,9.687,107.8,0
3,swp,100.0,535,535,1.0,0,0.0,,14.553,112.6,13
3,pruned,100.0,518,518,1.0,0,0.0,,9.795,111.9,12
3,sp,100.0,518,518,1.0,0,0.0,,9.795,111.9,0
4,swp,100.0,482,482,1.0,0,0.0,,10.002,117.2,3
4,pruned,100.0,500,500,1.0,0,0.0,,9.542,100.2,5
4,sp,100.0,500,500,1.0,0,0.0,,9.542,100.2,0
5,swp,100.0,491,491,1.0,0,0.0,,10.108,111.7,6
5,pruned,100.0,511,511,1.0,0,0.0,,9.507,120.4,5
5,sp,100.0,511,511,1.0,0,0.0,,9.507,120.4,0
6,swp,100.0,517,517,1.0,0,0.0,,11.944,84.1,21
6,pruned,100.0,474,474,1.0,0,0.0,,8.994,76.6,16
6,sp,100.0,474,474,1.0,0,0.0,,8.994,76.6,0
7,swp,100.0,523,523,1.0,0,0.0,,11.616,89.5,14
7,pruned,100.0,483,483,1.0,0,0.0,,10.195,85.9,11
7,sp,100.0,483,483,1.0,0,0.0,,10.195,85.9,0
8,swp,100.0,494,494,1.0,0,0.0,,11.192,122.7,6
8,pruned,100.0,479,479,1.0,0,0.0,,9.906,108.6,22
8,sp,100.0,479,479,1.0,0,0.0,,9.906,108.6,0
9,swp,100.0,533,533,1.0,0,0.0,,12.259,125.3,10
9,pruned,100.0,537,537,1.0,0,0.0,,9.507,109.3,12
9,sp,100.0,537,537,1.0,0,0.0,,9.507,109.3,0
0,swp,200.0,977,977,1.0,0,0.0,,14.082,109.2,42
0,pruned,200.0,1072,1072,1.0,0,0.0,,9.554,102.2,28
0,sp,200.0,1072,1072,1.0,0,0.0,,9.554,102.2,0
1,swp,200.0,1006,1006,1.0,0,0.0,,12.123,86.2,51
1,pruned,200.0,1006,1006,1.0,0,0.0,,9.572,90.1,56
1,sp,200.0,1006,1006,1.0,0,0.0,,9.572,90.1,0
2,swp,200.0,1044,1044,1.0,0,0.0,,13.097,109.4,52
2,pruned,200.0,1069,1069,1.0,0,0.0,,9.891,101.9,30
2,sp,200.0,1069,1069,1.0,0,0.0,,9.891,101.9,0
3,swp,200.0,1010,1010,1.0,0,0.0,,14.381,119.6,30
3,pruned,200.0,1030,1030,1.0,0,0.0,,9.96,92.9,29
3,sp,200.0,1030,1030,1.0,0,0.0,,9.96,92.9,0
4,swp,200.0,1022,1022,1.0,0,0.0,,12.465,103.7,51
4,pruned,200.0,1000,998,0.998,0,0.0,911,9.94,101.6,69
4,sp,200.0,1020,1011,0.9912,0,0.0,911,9.936,93.7,0
5,swp,200.0,977,977,1.0,0,0.0,,10.539,116.5,24
5,pruned,200.0,1010,1010,1.0,0,0.0,,9.576,111.1,30
5,sp,200.0,1010,1010,1.0,0,0.0,,9.576,111.1,0
6,swp,200.0,1005,1005,1.0,0,0.0,,12.93,99.1,62
6,pruned,200.0,999,999,1.0,0,0.0,,9.58,63.3,96
6,sp,200.0,1031,1010,0.9796,0,0.0,538,9.133,63.0,0
7,swp,200.0,982,982,1.0,0,0.0,,12.879,95.7,73
7,pruned,200.0,1075,1075,1.0,0,0.0,,10.285,78.3,53
7,sp,200.0,1075,1075,1.0,0,0.0,,10.285,78.3,0
8,swp,200.0,989,989,1.0,0,0.0,,13.167,113.0,40
8,pruned,200.0,997,997,1.0,0,0.0,,9.761,92.7,98
8,sp,200.0,997,997,1.0,0,0.0,,9.761,92.7,0
9,swp,200.0,1002,1002,1.0,0,0.0,,11.738,129.6,20
9,pruned,200.0,947,946,0.9989,0,0.0,719,10.039,113.6,111
9,sp,200.0,967,967,1.0,0,0.0,,9.849,106.3,0
0,swp,500.0,2496,2496,1.0,0,0.0,,13.589,99.4,161
0,pruned,500.0,2538,2533,0.998,0,0.0,1370,9.931,70.7,269
0,sp,500.0,2527,2513,0.9945,0,0.0,1370,9.85,68.5,0
1,swp,500.0,2535,2535,1.0,0,0.0,,13.427,60.1,523
1,pruned,500.0,2487,2472,0.994,0,0.0,727,11.315,67.0,632
1,sp,500.0,2491,2199,0.8828,0,0.0,403,8.954,72.7,0
2,swp,500.0,2583,2583,1.0,0,0.0,,13.431,87.9,249
2,pruned,500.0,2482,2452,0.9879,0,0.0,1042,11.038,79.0,493
2,sp,500.0,2532,2414,0.9534,0,0.0,892,9.922,74.3,0
3,swp,500.0,2515,2515,1.0,0,0.0,,13.396,98.9,135
3,pruned,500.0,2477,2475,0.9992,0,0.0,488,10.387,107.1,213
3,sp,500.0,2512,2180,0.8678,0,0.0,342,9.133,94.7,0
4,swp,500.0,2575,2575,1.0,0,0.0,,13.139,82.1,251
4,pruned,500.0,2455,2448,0.9971,0,0.0,378,10.198,76.2,377
4,sp,500.0,2536,2211,0.8718,0,0.0,359,9.305,85.5,0
5,swp,500.0,2355,2212,0.9393,0,0.0,475,10.717,92.9,429
5,pruned,500.0,2475,2333,0.9426,0,0.0,475,9.735,91.9,399
